chainid,lastupdatedate,subchainid,storeid,bikoretno,storetype,chainname,subchainname,storename,address,city,zipcode,xmldocversion,lastupdatetime,latitude,longitude,,,,
7290725900003,09/06/2015 17:24,0,75,0,1,יינות ביתן מרכז הרשת,,75 כ-חנ קרית ביאליק,שדרות חן 1,קריית ביאליק,2750901,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,76,0,1,יינות ביתן מרכז הרשת,,76 כ-חנ תל ציון,אהבת ציון פינת קהילת יעקב,תל ציון,9062200,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,77,0,1,יינות ביתן מרכז הרשת,,77 כ-חנ כוכב יעקב,הכסף 1,כוכב יעקב,9062200,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,78,0,1,יינות ביתן מרכז הרשת,,78 כ-חנ בית אל,הראיה 34,בית אל,9063100,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,79,0,1,יינות ביתן מרכז הרשת,,79 כ-חנ פ``ת  לב סביונים,חיה פינשטיין 11,פתח תקווה,4956970,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,80,0,1,יינות ביתן מרכז הרשת,,80 כ-חנ טבעון,"קק""ל 16",קרית טבעון,3608208,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,81,0,1,יינות ביתן מרכז הרשת,,81 כ-חנ ראשון מערב,השירה העברית 10,ראשון לציון,7573105,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,82,0,1,יינות ביתן מרכז הרשת,,82 כ-חנ נצרת עלית,היצירה 12,נצרת עלית,1700000,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,83,0,1,יינות ביתן מרכז הרשת,,83 כ-חנ צור יצחק,נחל קנה 9,צור יצחק,4580800,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,84,0,1,יינות ביתן מרכז הרשת,,84 כ-חנ מתן,הדר 84,מתן,4585800,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,90,0,1,יינות ביתן מרכז הרשת,,90 ירושלים נווה יעקב,גדליה נוימן,6,9355506,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,91,0,1,יינות ביתן מרכז הרשת,,91 ירושלים ריינס,ריינס 6 שכונת קרית משה,ירושלים,9542731,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,99,0,2,יינות ביתן מרכז הרשת,,99 אתר אינטרנט מי סופר מרקט,www.ybitan.co.il,,0,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,101,0,1,יינות ביתן מרכז הרשת,,101 טופ מרקט שלומציון,,,,NA,NA,,,,,,
7290725900003,09/06/2015 17:24,0,102,0,1,יינות ביתן מרכז הרשת,,102 טופ מרקט ת-מרכזית,,,,NA,NA,,,,,,
7290058140886,05/07/2015,NA,1,6,1,רמי לוי שיווק השקמה,NA,תלפיות,"האומן 15, ירושלים",תלפיות,unknown,0,20:05:00,31.749544,35.2104684,,,,
7290058140886,05/07/2015,NA,2,5,1,רמי לוי שיווק השקמה,NA,בזק מחסני מזון,"יד חרוצים 18 ,תלפיות",בזק מחסני מזון,unknown,0,20:05:00,31.7510535,35.2160012,,,,
7290058140886,05/07/2015,NA,3,4,1,רמי לוי שיווק השקמה,NA,רמות,"דרך החורש 90 ,רמות",רמות,unknown,0,20:05:00,31.8095859,35.1931434,,,,
7290058140886,05/07/2015,NA,5,2,1,רמי לוי שיווק השקמה,NA,רב מכר,"הפרסה 3, ירושלים",רב מכר,unknown,0,20:05:00,31.7509161,35.2102152,,,,
7290058140886,05/07/2015,NA,6,1,1,רמי לוי שיווק השקמה,NA,מישור אדומים,"איתם 1, מעלה אדומים",מישור אדומים,unknown,0,20:05:00,31.7929399,35.334543,,,,
7290058140886,05/07/2015,NA,8,9,1,רמי לוי שיווק השקמה,NA,שער בנימין,שער בנימין,שער בנימין,unknown,0,20:05:00,31.865575,35.261645,,,,
7290058140886,05/07/2015,NA,9,8,1,רמי לוי שיווק השקמה,NA,קסיטנה,באר טוביה,קסיטנה,unknown,0,20:05:00,31.7274862,34.745636,,,,
7290058140886,05/07/2015,NA,10,4,1,רמי לוי שיווק השקמה,NA,מודיעין חדש,"יהושוע חנקין 14, עפולה",עפולה,unknown,0,20:05:00,32.604206,35.2940885,,,,
7290058140886,05/07/2015,NA,11,3,1,רמי לוי שיווק השקמה,NA,עפולה,החוזה מלובלין 2 ביתר עלית,ביתר עלית,unknown,0,20:05:00,31.6995959,35.1081854,,,,
7290058140886,05/07/2015,NA,12,2,1,רמי לוי שיווק השקמה,NA,ביתר עלית,"בית הדפוס 13, גבעת שאול",גבעת שאול,unknown,0,20:05:00,31.7861628,35.1873616,,,,
7290058140886,05/07/2015,NA,13,1,1,רמי לוי שיווק השקמה,NA,גבעת שאול,צומת פוריה טבריה,טבריה,unknown,0,20:05:00,32.786036,35.495903,,,,
7290058140886,05/07/2015,NA,14,0,1,רמי לוי שיווק השקמה,NA,טבריה,דרך בר יהודה נשר,נשר,unknown,0,20:05:00,32.7704924,35.0475465,,,,
7290058140886,05/07/2015,NA,15,9,1,רמי לוי שיווק השקמה,NA,נשר,צומת שילת,מודיעין חדש,unknown,0,20:05:00,31.9105691,35.0159428,,,,
7290058140886,05/07/2015,NA,16,8,1,רמי לוי שיווק השקמה,NA,רמת גן  איילון,מבצע קדש 66 רמת גן,רמת גן  איילון,unknown,0,20:05:00,32.1016527,34.8298473,,,,
7290058140886,05/07/2015,NA,17,7,1,רמי לוי שיווק השקמה,NA,ראש העין,צומת קסם,ראש העין,unknown,0,20:05:00,32.105977,34.9477545,,,,
7290058140886,05/07/2015,NA,19,5,1,רמי לוי שיווק השקמה,NA,אדמרליטי,חלוצי התעשיה 73 חיפה,אדמרליטי,unknown,0,20:05:00,32.8191191,35.0540626,,,,
7290058140886,05/07/2015,NA,20,1,1,רמי לוי שיווק השקמה,NA,זכרון יעקב,קניון זכרון יעקב,זכרון יעקב,unknown,0,20:05:00,32.5710555,34.938223,,,,
7290058140886,05/07/2015,NA,22,9,1,רמי לוי שיווק השקמה,NA,כנפי נשרים,"כנפי נשרים 26, גבעת שאול",כנפי נשרים,unknown,0,20:05:00,31.7875217,35.1827822,,,,
7290058140886,05/07/2015,NA,23,8,1,רמי לוי שיווק השקמה,NA,גוש עציון,צומת גוש עציון,גוש עציון,unknown,0,20:05:00,31.6482399,35.1317455,,,,
7290058140886,05/07/2015,NA,24,7,1,רמי לוי שיווק השקמה,NA,נתניה,רח האורזים 2 נתניה,נתניה,unknown,0,20:05:00,32.3228003,34.8720751,,,,
7290058140886,05/07/2015,NA,25,6,1,רמי לוי שיווק השקמה,NA,מודעין ישפרו,"מתחם ישפרו סנטר, מודיעין",מודעין ישפרו,unknown,0,20:05:00,31.8881164,34.9626697,,,,
7290058140886,05/07/2015,NA,26,5,1,רמי לוי שיווק השקמה,NA,אשדוד,רח היהלומים אשדוד,אשדוד,unknown,0,20:05:00,31.815582,34.660299,,,,
7290058140886,05/07/2015,NA,27,4,1,רמי לוי שיווק השקמה,NA,באר שבע,"רח הל""ע קניון מול 7 באר שבע",באר שבע,unknown,0,20:05:00,31.2343371,34.7945349,,,,
7290058140886,05/07/2015,NA,28,3,1,רמי לוי שיווק השקמה,NA,עכו,רח בולטימור 2 עכו,עכו,unknown,0,20:05:00,32.89923,35.086629,,,,
7290058140886,05/07/2015,NA,29,2,1,רמי לוי שיווק השקמה,NA,פרדס חנה ביג,רח תדהר פרדס חנה,פרדס חנה ביג,unknown,0,20:05:00,32.4885974,34.9707156,,,,
7290058140886,05/07/2015,NA,30,8,1,רמי לוי שיווק השקמה,NA,קדימה,רח הזרם 2 קדימה צורן,קדימה,unknown,0,20:05:00,32.1730471,34.9270714,,,,
7290058140886,05/07/2015,NA,31,7,1,רמי לוי שיווק השקמה,NA,נתיבות,בית הגדי נתיבות,נתיבות,unknown,0,20:05:00,31.9158147,35.023706,,,,
7290058140886,05/07/2015,NA,32,6,1,רמי לוי שיווק השקמה,NA,נהריה,נהריה,נהריה,unknown,0,20:05:00,33.0326758,35.1035005,,,,
7290058140886,05/07/2015,NA,33,5,1,רמי לוי שיווק השקמה,NA,כפר סבא,רח גלגלי הפלדה 5 ,כפר סבא,unknown,0,20:05:00,32.1728483,34.9267064,,,,
7290058140886,05/07/2015,NA,34,4,1,רמי לוי שיווק השקמה,NA,פתח תקווה,רח הסיבים 37 פתח תקווה,פתח תקווה,unknown,0,20:05:00,32.0871858,34.8564853,,,,
7290058140886,05/07/2015,NA,35,3,1,רמי לוי שיווק השקמה,NA,אשקלון,רח הנפח אשקלון,אשקלון,unknown,0,20:05:00,31.635733,34.552176,,,,
7290058140886,05/07/2015,NA,36,2,1,רמי לוי שיווק השקמה,NA,כרמיאל,כרמיאל רחוב היוצרים 7,כרמיאל,unknown,0,20:05:00,32.9234746,35.3086227,,,,
7290058140886,05/07/2015,NA,37,1,1,רמי לוי שיווק השקמה,NA,נתניה חדש,רח המחקר נתניה,נתניה חדש,unknown,0,20:05:00,32.2905739,34.86307,,,,
7290058140886,05/07/2015,NA,38,0,1,רמי לוי שיווק השקמה,NA,קרית שמונה,איזור תעשיה צפוני קרית שמונה,קרית שמונה,unknown,0,20:05:00,33.2248212,35.584697,,,,
7290103152017,05/07/2015,NA,1,6,1,אושר עד,NA,מגדל העמק,האיצטדיון 11,מגדל העמק,unknown,0,20:05:00,,,,,,
7290103152017,05/07/2015,NA,3,4,1,אושר עד,NA,גבעת שאול,בית הדפוס 29,ירושלים,unknown,0,20:05:00,,,,,,
7290103152017,05/07/2015,NA,5,2,1,אושר עד,NA,קרית ביאליק,"הנס מולר 6, צור שלום",קרית ביאליק,unknown,0,20:05:00,,,,,,
7290103152017,05/07/2015,NA,6,1,1,אושר עד,NA,כנות,אדום 24 פארק התעשיות כנות,כנות,unknown,0,20:05:00,,,,,,
7290103152017,05/07/2015,NA,9,8,1,אושר עד,NA,אשדוד,בעלי המלאכה 4,אשדוד,unknown,0,20:05:00,,,,,,
7290103152017,05/07/2015,NA,10,4,1,אושר עד,NA,פתח תקווה - סגולה,unknown,פתח תקווה,unknown,0,20:05:00,,,,,,
7290103152017,05/07/2015,NA,11,3,1,אושר עד,NA,בני ברק,הקישון 11,בני ברק,unknown,0,20:05:00,,,,,,
7290103152017,05/07/2015,NA,13,1,1,אושר עד,NA,באר שבע,הקוצר 15 אזור תעשיה עמק שרה,באר שבע,unknown,0,20:05:00,,,,,,
7290103152017,05/07/2015,NA,14,0,1,אושר עד,NA,חדרה,"המסגר 22 אזה""ת הצפוני",חדרה,unknown,0,20:05:00,,,,,,
7290103152017,05/07/2015,NA,16,8,1,אושר עד,NA,בית שמש - גליל,unknown,בית שמש,unknown,0,20:05:00,,,,,,
7290103152017,05/07/2015,NA,20,1,1,אושר עד,NA,לוד,בת שבע 1 מתחם טלרד,לוד,unknown,0,20:05:00,,,,,,
7290103152017,05/07/2015,NA,22,9,1,אושר עד,NA,אשקלון בת הדר,unknown,אשקלון בת הדר,unknown,0,20:05:00,,,,,,
7290103152017,05/07/2015,NA,26,5,1,אושר עד,NA,תלפיות,פייר קניג 26 קניון הדר,ירושלים,unknown,0,20:05:00,,,,,,
7290103152017,05/07/2015,NA,28,3,1,אושר עד,NA,שמגר,שמגר 16,ירושלים,unknown,0,20:05:00,,,,,,
7290492000005,06/07/2015,NA,501,1,1,Dor Alon,NA,Am-pm בן יהודה,בן יהודה 30,תל אביב,6380407,0,07:00:00,32.07608,34.76811,,,,
7290492000005,06/07/2015,NA,502,0,1,Dor Alon,NA,Am-pm פינסקר,פינסקר 10,תל אביב,6332315,0,07:00:00,32.07379,34.76935,,,,
7290492000005,06/07/2015,NA,503,9,1,Dor Alon,NA,Am-pm ארלוזרוב,דיזנגוף 193,תל אביב,6346232,0,07:00:00,32.08666,34.77485,,,,
7290492000005,06/07/2015,NA,504,8,1,Dor Alon,NA,Am-pm נורדאו,בן יהודה 195,תל אביב,6347312,0,07:00:00,32.0921,34.77457,,,,
